Date,Time,Inj (A),Extr (A),Cent (A),Sext (A),Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),O balzer,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,14 GHz,Total Power,18/14,28/18,28/14,Spectral Temperature,CSD,MCA (gain 10) Run # (90 sec),Total Counts
7/9/25,7:37:39 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.2,8.3,12.5,3.2,2,0.27,16,3.41,0,495,100,595.00,5,,,34.14,19:44:52,1,486
7/9/25,7:50:14 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.37,8.31,12.5,3.5,2,0.409,16,4.5,0,1000,100,1100.00,10,,,21.18,19:52:06,2,923
7/9/25,7:55:20 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.86,8.31,12.5,3.54,2,0.36,12,4.85,0,1492,100,1592.00,15,,,34.61,19:57:32,3,1313
7/9/25,8:03:19 PM,165,110,140,360,2.99,1.49,0.31,1.72,3.33,8.31,12.5,3.521,2,0.308,12,4.6,0,1785,99,1884.00,20,,,15.82,20:02:46,4,1608
7/9/25,,165,110,140,360,2.99,1.49,0.31,1.72,2.63,8.31,12.5,2.04,2,0.085,13,0.5,47,0,1592,1639.00,,,,22.32,21:01:58,5,1702
7/9/25,9:14:32 PM,165,110,140,360,2.99,1.49,0.31,1.72,3.35,8.31,12.5,5.7,2,1.258,12,2.66,1498,0,1526,3024.00,,,1,17.13,21:16:23,6,5938
7/9/25,9:21:08 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.66,8.31,12.5,3.17,2,0.168,8,0.69,498,987,1500,2985.00,1,1,1,18.86,21:23:06,7,6183
7/9/25,9:25:58 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.58,8.31,12.5,3.365,2,0.189,8,0.47,995,506,1504,3005.00,0.667,0.5,0.333,16.29,21:28:03,8,6641
7/9/25,9:30:18 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.55,8.31,12.5,2.816,2,0.153,8,0.53,309,503,1491,2303.00,0.333,2,0.667,17.20,21:32:38,9,4567
7/9/25,9:35:04 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.55,8.31,12.5,276,2,0.14,8,0.36,495,302,1488,2285.00,0.333,0.6,0.2,16.79,21:36:52,10,4921
7/9/25,9:39:19 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.77,8.31,12.5,2.88,2,0.168,8,0.41,61,1476,1498,3035.00,0.2,1.667,0.333,15.63,21:41:24,11,4251
7/9/25,9:44:50 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.58,8.31,12.5,3.6,2,0.3,8,0,1009,1015,994,3018.00,1,0,0,19.41,21:47:37,12,6078
7/9/25,9:48:55 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.59,8.31,12.5,3.57,2,0.222,8,0.41,1504,506,991,3001.00,1,1,1,20.62,21:50:56,13,6774
7/9/25,9:53:22 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.62,8.31,12.5,3.36,2,0.24,8,0.59,502,1476,1009,2987.00,0.5,3,1.5,15.05,21:55:46,14,5718
7/9/25,9:57:14 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.51,8.31,12.5,2.9,2,0.17,8,0.44,253,763,997,2013.00,1.5,0.333,0.5,18.43,21:59:25,15,3909
7/9/25,10:03:27 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.31,8.31,12.5,3.19,2,0.144,8,0.03,747,252,1007,2006.00,0.75,0.333,0.25,16.88,22:04:26,16,4243
7/9/25,10:10:14 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.4,8.31,12.5,3.95,2,0.36,8,0.34,1011,1485,503,2999.00,0.25,3,0.75,17.81,22:11:47,17,5651
7/9/25,10:13:53 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.49,8.31,12.5,3.844,2,0.285,8,0.44,1500,1014,499,3013.00,3,0.667,2,20.50,22:15:58,18,6393
7/9/25,10:20:46 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.5,8.31,12.5,3.3,2,0.265,8,0.4,500,500,500,1500.00,2,1.5,3,20.61,22:20:01,19,3329
7/9/25,10:24:01 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.47,8.31,12.5,3.47,2,0.32,8,0.41,199,1479,298,1976.00,1,1,1,,22:25:59,20,
7/9/25,10:28:27 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.24,8.31,12.5,3.16,2,0.213,8,0.19,751,508,248,1507.00,5,0.133,0.667,21.05,22:30:33,21,3194
7/9/25,10:47:29 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.4,8.31,12.5,3.9,2,0.323,8,0.1,1547,303,205,2055.00,2,1.5,3,17.84,22:49:12,22,4069
7/9/25,10:51:26 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.19,8.31,12.5,3.63,2,0.328,8,0.41,1000,393,148,1541.00,1.5,5,7.5,15.63,22:53:31,23,3246
7/9/25,10:55:21 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.27,8.31,12.5,2.5,2,0.109,8,0.13,150,150,149,449.00,4,2.5,10,28.57,22:57:27,24,902
7/9/25,11:01:24 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.31,8.31,12.5,298,2,0.19,8,0.5,400,198,198,796.00,1,1,1,24.52,23:01:09,25,1696
7/9/25,11:07:21 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.24,8.31,12.5,3.71,2,0.322,8,0.25,997,0,108,1105.00,,,5,10.84,23:09:33,27,1610
7/9/25,11:11:55 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.38,8.31,12.5,3.77,2,0.288,8,0.31,1495,0,102,1597.00,,,10,14.05,23:13:37,28,2550
7/9/25,11:16:35 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.58,8.31,12.5,4,2,0.38,8,0.53,1998,0,99,2097.00,,,15,15.78,23:18:32,29,3415
7/9/25,11:22:55 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.46,8.31,12.5,3.889,2,0.3,8,0.72,2001,99,35,2135.00,,,20,18.48,23:22:40,30,3924
7/9/25,11:24:32 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.28,8.31,12.5,3.76,2,0.25,8,0.75,1506,99,74,1679.00,,20,,12.42,23:26:29,31,3073
7/9/25,11:27:48 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.2,8.31,12.5,3.72,2,0.365,8,0.88,1010,99,50,1159.00,,15,,14.75,23:29:39,32,2160
7/9/25,11:31:23 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.24,8.31,12.5,2.7,2,0.16,8,1.31,506,100,20,626.00,,10,,9.96,23:32:54,33,1214
7/9/25,11:35:43 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.49,8.31,12.5,4.04,2,0.35,8,0.69,1501,1481,143,3125.00,,5,,19.43,23:37:47,34,6405
7/9/25,11:39:40 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.32,8.31,12.5,3.643,2,0.237,8,0.78,1601,0,32,1633.00,,1,,21.72,23:41:29,35,2477
7/9/25,11:44:56 PM,165,110,140,360,2.99,1.49,0.31,1.72,2.33,8.31,12.5,3.35,2,0.26,8,1.05,21,1579,0,1600.00,,,,12.52,23:46:39,36,1123