Date,Inj (A),Extr (A),Sext (A),Cent (A),Bmin (measured),Bmin (Excel),Bmin (Panelview),Bmin,14 GHz Ideal,18GHz Ideal,28GHz Ideal,Total Power Ideal,Norm Ts,18/14 Ratio Ideal,28/18 Ratio Ideal,28/14 Ratio Ideal,28/18/14 Ratio Ideal,14 GHz Actual,18GHz Actual,28GHz Actual,Total Power Actual,18/14 Ratio Actual,28/18 Ratio Actual,28/14 Ratio Actual,Bias (V),Total Counts,Counts/sec,Input Counts,Run,Ts,Sum Counts,Livetimes
7/9/25,160,110,360,140,,0.232,0.31,,1600,0,0,1600,,,,,,1592,0,47,1639,,,,,1702,14.18,,,,,
7/9/25,160,110,360,140,,0.232,0.31,,1500,0,1500,3000,,,,1,,1526,0,1498,3024,,,0.982,,5938,49.48,,,,,
7/9/25,160,110,360,140,,0.232,0.31,,500,500,500,1500,,1,1,1,,500,500,500,1500,1.000,1.000,1.000,,3329,27.74,,,,,
7/9/25,160,110,360,140,,0.232,0.31,,1500,1500,0,3000,,1,,,,1498,1476,61,3035,0.985,,,,4251,35.43,,,,,
7/9/25,160,110,360,140,,0.232,0.31,,1000,1000,1000,3000,,1,1,1,,994,1015,1009,3018,1.021,0.994,1.015,,6078,50.65,,,,,
7/9/25,160,110,360,140,,0.232,0.31,,0,1500,1500,3000,,,1,,,143,1481,1501,3125,,1.014,,,6405,53.38,,,,,
7/9/25,160,110,360,140,,0.232,0.31,,0,0,1600,1600,,,,,,32,0,1601,1633,,,,,2477,20.64,,,,,
7/9/25,160,110,360,140,,0.232,0.31,,0,1600,0,1600,,,,,,0,1579,21,1600,,,,,1123,9.36,,,,,
7/10/25,185,154,430,162,,0.378,,,500,500,500,1500,0.0175,1,1,1,,493,493,512,1498,1.000,1.039,1.039,24,2215,36.92,1026,1,26.32,22.09109833,60
7/10/25,185,154,430,162,,0.378,,,0,500,500,1000,0.0135,,1,,,13,493,503,1009,,1.020,,24,1519,25.32,717,2,13.50,9.087297696,60
7/10/25,185,154,430,162,,0.378,,,500,0,500,1000,0.0000,,,1,,,,,,,,,,,0.00,,,,,
7/10/25,185,154,430,162,,0.378,,,0,0,500,500,0.0208,,,,,20,0,501,521,,,,24,703,11.72,323,3,10.38,3.187277866,60
7/10/25,185,154,430,151,,0.454,0.53,,500,500,500,1500,0.0158,1,1,1,,495,494,499,1488,0.998,1.010,1.008,24,3608,60.13,1766,6,23.64,21.20105973,60
7/10/25,185,154,430,151,,0.454,0.53,,500,0,500,1000,0.0177,,,1,,498,0,498,996,,,1.000,24,2392,39.87,1158,7,17.72,13.85885086,60
7/10/25,185,154,430,151,,0.454,0.53,,0,500,500,1000,0.0167,,1,,,20,496,497,1013,,1.002,,24,2304,38.40,1119,5,16.65,13.87840291,60
7/10/25,185,154,430,151,,0.454,0.53,,0,0,500,500,0.0211,,,,,21,0,500,521,,,,24,1213,20.22,585,4,10.57,7.103850611,60
7/10/25,185,154,430,141,,0.523,0.6,,500,500,500,1500,0.0141,1,1,1,,498,495,505,1498,0.994,1.020,1.014,24,5001,83.35,2604,10,21.16,25.39251476,60
7/10/25,185,154,430,141,,0.523,0.6,,500,0,500,1000,0.0146,,,1,,499,0,500,999,,,1.002,24,720,12.00,371,11,14.60,3.188654964,60
7/10/25,185,154,430,141,,0.523,0.6,,0,500,500,1000,0.0221,,1,,,17,494,503,1014,,1.018,,24,3218,53.63,1633,9,22.08,16.57779686,60
7/10/25,185,154,430,141,,0.523,0.6,,0,0,500,500,0.0419,,,,,16,0,495,511,,,,24,1616,26.93,791,8,20.95,6.85073703,60
7/10/25,185,154,430,130,,0.598,0.67,,500,500,500,1500,0.0133,1,1,1,,500,493,497,1490,0.986,1.008,0.994,24,3184,53.07,1666,14,19.97,17.42648331,60
7/10/25,185,154,430,130,,0.598,0.67,,500,0,500,1000,0.0153,,,1,,498,0,489,987,,,0.982,24,1992,33.20,1024,12,15.26,8.014812779,60
7/10/25,185,154,430,130,,0.598,0.67,,0,500,500,1000,0.0224,,1,,,12,494,495,1001,,1.002,,24,4276,71.27,2263,13,22.37,24.19801825,60
7/10/25,185,154,430,130,,0.598,0.67,,0,0,500,500,0.0382,,,,,51,0,510,561,,,,24,2317,38.62,1261,15,19.10,13.724056,60
7/10/25,185,154,430,119,,0.672,0.74,,500,500,500,1500,0.0153,1,1,1,,500,492,507,1499,0.984,1.030,1.014,24,1808,30.13,996,18,22.91,10.45809112,60
7/10/25,185,154,430,119,,0.672,0.74,,500,0,500,1000,0.0103,,,1,,499,0,491,990,,,0.984,24,754,12.57,418,19,10.34,3.466199115,60
7/10/25,185,154,430,119,,0.672,0.74,,0,500,500,1000,0.0219,,1,,,4,495,501,1000,,1.012,,24,4894,81.57,2664,17,21.89,32.38825126,60
7/10/25,185,154,430,119,,0.672,0.74,,0,0,500,500,0.0352,,,,,2,0,509,511,,,,24,2625,43.75,1402,16,17.62,14.01765854,60
7/10/25,185,154,430,107,,0.754,0.82,,500,500,500,1500,0.0065,1,1,1,,498,492,497,1487,0.988,1.010,0.998,24,749,12.48,549,21,9.73,3.357821868,60
7/10/25,185,154,430,107,,0.754,0.82,,500,0,500,1000,0.0105,,,1,,505,0,502,1007,,,0.994,24,828,13.80,471,20,10.54,3.569632974,60
7/10/25,185,154,430,107,,0.754,0.82,,0,500,500,1000,0.0305,,1,,,5,492,502,999,,1.020,,24,5615,93.58,3116,22,30.46,38.54764173,60
7/10/25,185,154,430,107,,0.754,0.82,,0,0,500,500,0.0526,,,,,10,0,502,512,,,,24,2599,43.32,1495,23,26.29,17.87818669,60
7/10/25,185,154,430,97,,0.821,0.89,,500,500,500,1500,0.0194,1,1,1,,507,495,495,1497,0.976,1.000,0.976,24,3580,59.67,2050,26,29.08,22.03517089,60
7/10/25,185,154,430,97,,0.821,0.89,,500,0,500,1000,0.0255,,,1,,500,0,500,1000,,,1.000,24,4128,68.80,2385,27,25.51,26.75063706,60
7/10/25,185,154,430,97,,0.821,0.89,,0,500,500,1000,0.0302,,1,,,14,496,498,1008,,1.004,,24,5453,90.88,3075,25,30.18,39.06637978,60
7/10/25,185,154,430,97,,0.821,0.89,,0,0,500,500,0.0542,,,,,14,0,501,515,,,,24,2861,47.68,1587,24,27.11,16.74708619,60